COUNTRY/LOCATION|PEOPLE|POUNDS|KILOGRAMS|MILES|KILOMETERS|TOTAL|ITEMS|COLLECTED|CIGARETTE-BUTTS|PLASTIC-BEVERAGE-BOTTLES|PLASTIC-BOTTLE-CAPS|FOOD-WRAPPERS(CANDYETC.)|PLASTIC-GROCERY-BAGS|PLASTIC-LIDS|STRAWSSTIRRERS|GLASS-BEVERAGE-BOTTLES|OTHER-PLASTIC-BAGS|FOAM-TAKE-AWAY-CONTAINERS
ALBANIA|1|2|1|0.5|0.8|15|–|3|–|1|2|–|–|–|–|4
ANTARCTICA|2|2|1|0.5|0.8|7|–|1|–|–|–|–|–|–|–|–
ARGENTINA|192|767|348|2.5|4.1|1964|48|709|79|20|47|98|4|236|213|10
AUSTRALIA|7627|234218|106240|756.5|1217.5|9375|712|164|285|1239|114|50|284|337|94|3
AZERBAIJAN|10|161|73|2.5|4.0|260|90|16|30|30|6|5|–|5|–|5
BARBADOS|807|6708|3043|27.5|44.2|55683|3491|4276|5550|3699|963|636|1979|1312|1787|675
BELGIUM|1|11|5|0.5|0.8|162|48|1|3|12|4|1|3|2|–|–
BELIZE|937|11289|5121|29.9|48.0|91884|2555|7529|4827|3502|4074|1419|4131|2198|3284|1225
BERMUDA|429|8151|3697|28.2|45.4|28355|3069|1368|1203|1064|350|304|349|2627|325|159
BONAIRE|125|1764|800|1.4|2.3|1032|3|9|38|7|–|–|66|128|3|–
BRAZIL|1977|3082|1398|34.5|55.5|31255|1973|368|1621|1770|659|1503|1343|1254|527|570
BRITISH VIRGIN ISLANDS|76|845|383|0.9|1.5|4889|94|953|131|101|108|64|78|507|188|82
BRUNEI|811|8770|3978|15.0|24.1|22012|2633|4126|2011|1748|724|391|696|516|754|286
BURMA|2|2|1|0.5|0.8|24|4|2|–|11|1|–|2|–|–|–
CAMBODIA|134|681|309|1.8|3.0|9895|25|1177|331|345|170|29|863|288|791|16
CANADA|24475|128331|58210|970.8|1563.5|518686|152811|17895|22856|38401|9080|8076|13718|5821|10897|3059
CAYMAN ISLANDS|87|1362|618|0.9|1.5|6455|162|793|1260|154|182|219|129|357|256|158
CHILE|10176|188521|85512|127.1|204.6|251910|42852|12125|10284|12091|6842|6533|2970|8617|5689|2564
CHINA|5525|90256|40940|37.8|60.8|20856|2567|782|543|585|303|231|214|240|517|216
COLOMBIA|223|2792|1267|6.1|9.8|322841|147|4094|6422|1479|283|1015|196|1290|228|1348
COSTA RICA|470|7881|3575|5.3|8.5|42797|3|11144|15171|576|2|–|5944|2|–|–
CROATIA|4|180|82|0.5|0.8|273|13|17|51|7|27|7|8|8|–|–
CUBA|35|683|310|1.0|2.0|1201|211|8|75|50|60|15|30|60|29|25
CURAÇAO|18|63|29|1.6|2.5|126|–|7|1|8|2|–|–|19|15|–
CYPRUS|11|4|2|0.5|0.8|1833|1700|–|20|–|–|–|11|–|–|–
DENMARK|63|284|129|10.5|16.9|3561|1557|33|89|324|30|51|44|23|90|12
DOMINICAN REPUBLIC|8162|118564|53780|72.7|117.0|463968|13847|46055|41457|25562|13521|8645|20289|2181|103|377
ECUADOR|22954|155888|70710|323.7|521.1|591258|39974|40717|41109|32218|25191|27395|14338|25211|29760|15781
FRANCE|1|2|1|0.5|0.8|2|–|2|–|–|–|–|–|–|–|–
GERMANY|877|1568|711|18.3|29.5|62068|42218|127|696|4431|269|214|971|358|736|7
GHANA|1757|165238|74951|19.1|30.7|1076136|31426|76761|27161|24753|136412|132643|13412|11243|41424|207351
GREECE|61|4660|2114|8.2|13.2|1460|31|285|37|16|69|–|5|217|2|–
GRENADA|126|2100|953|0.5|0.8|434|10|88|7|68|18|–|8|72|–|–
GUAM|5651|23420|10623|33.9|54.5|154047|18817|15930|8539|8007|3906|3047|2268|7285|4206|1888
GUATEMALA|440|21066|9555|9.1|14.6|81452|35|42022|1333|2170|4028|337|197|20545|3224|140
GUERNSEY|151|369|167|2.8|4.6|2817|185|66|161|322|16|11|30|76|72|2
GUYANA|122|2919|1324|2.5|4.0|15615|85|4344|1790|332|198|315|801|1188|407|335
HONDURAS|3|2|1|0.5|0.8|1|–|–|–|–|–|–|–|–|–|–
HONG KONG|76311|12249007|5556056|1757.2|2828.1|206963|4973|12994|11074|13034|3987|3560|7464|2577|6333|3534
INDIA|10294|100938|45785|265.5|427.4|499681|16664|33674|25208|21595|59874|19051|11240|27802|36442|14679
INDONESIA|2764|5652|2563|43.2|69.5|85206|33189|6041|3790|6954|1003|2435|5585|1597|3476|2313
IRELAND|1473|31482|14280|3.9|6.3|1098|79|115|34|89|64|13|–|40|59|–
ISLE OF MAN|14|40|18|0.5|0.8|4009|7|95|209|56|36|–|22|7|19|–
ISRAEL|39|75|34|0.5|0.8|86|–|7|1|–|17|–|–|5|–|–
ITALY|79|291|132|2.3|3.8|1715|881|61|69|35|38|–|57|43|51|–
JAMAICA|9276|109434|49638|93.9|151.0|707259|6241|225070|76868|23357|17411|10548|9522|27607|32399|18876
JAPAN|6987|42276|19176|38.5|62.1|139881|15296|12464|5344|9154|4410|2808|1932|3620|6739|4035
KENYA|3285|8776|3981|21.9|35.2|133174|11702|13536|8225|6794|9583|1180|10882|985|3790|607
KIRIBATI|200|2315|1050|0.5|0.8|1|–|–|–|–|–|–|–|–|–|–
KUWAIT|90|216000|97976|3.1|5.0|5|4|–|–|–|–|–|–|–|–|–
MACAU|11|159|72|0.5|0.8|2607|–|535|56|56|–|5|20|57|20|100
MALAWI|203|4475|2030|1.9|3.0|1|–|–|–|1|–|–|–|–|–|–
MALAYSIA|198|761|345|7.8|12.5|6788|582|565|274|606|648|226|247|98|458|111
MALDIVES|187|1496|679|4.9|7.9|12|–|–|–|3|–|–|–|–|–|–
MALTA|39|825|374|7.5|12.0|297|21|43|16|4|24|–|2|41|10|–
MARSHALL ISLANDS|43|794|360|0.5|0.8|8728|–|5289|–|–|360|53|–|–|–|–
